text	label	cer	pol	tense
둘째, BCP는 ＇D-＇가 아닌 ＇D+＇에서 시작하는 것이 효과적이다.	0	1	2	1
영국의 경우 크리스마스와 같은 긴 연휴는 없다.	0	1	1	1
세계 각지에서 일어난 대규모 산불, 최악의 가뭄과 홍수, 살인적인 폭염과 한파 등을 집중적으로 조명하고 우리에게 시간이 얼마 남지 않았음을 준엄하게 경고하는 내용이었다.	0	1	2	0
과정보다 결과가 중요하고, 배가 불러야 과정을 따질 여유도 생긴다.	1	1	2	1
그 후 그것은 점점 낮아져서 2016년에는 2.4%까지 낮아졌습니다.	2	1	2	0
최근 기업들이 앞다퉈 내세우는 화두는 단연 ＇사회적 가치＇다.	0	1	2	1
없던 통증도 나타나거나 악화되곤 한다.	1	1	2	1
이 무렵 중국 소설이 대거 유입되고, 이를 번역한 국문소설이 17세기에 본격적으로 나타난 이후, 소설 독서에 대한 요구와 이에 부응한 유통, 공급 시스템 환경이 구축됨으로써 세책 문화가 나타날 수 있는 여건이 마련되었다.	1	1	2	0
다만 시간의 문제일 뿐, 과거 수준으로 다시 올라갈 것으로 보는 사람이 적지 않다.	0	1	1	1
＂그러나 처음부터 가난 때문에 공부 못하는 나 같은 사람 없게 하겠다고 번 돈이었고 앞으로도 그 목적에 맞게 나누는 삶을 살아가겠습니다.＂	2	1	2	2
`먼저 채소를 썰어서 준비하는데요, 저는 혈관을 깨끗하게 해 주는 부추를 선택했습니다.`	2	1	2	0
그러나 유족과 합의가 이루어지지 않을 가능성도 있을 것이다.	3	0	0	2
즉 단기자금 이탈을 막겠다는 목표로 하강하는 경제 사정에 비해 높은 금리를 유지하거나 원화 강세를 만드는 것이 아니라 보다 근본적으로 한국 경제의 불확실성을 줄이고 경기를 회복시키는 것이 중요하다.	1	1	2	1
＂이 겁에 질리고 돈을 사랑하는 세상에서 시의 영향력이 미미한 것은, 시의 잘못이 아니다.＂	1	1	1	1
이는 5월 기준으로 보면 2000년(103만4000명) 이후 최대폭의 증가세다.	0	1	2	1
언제부터인지 우리는 더 이상 미래를 말하지 않고 있다.	0	1	1	1
명성황후는 일본을 조심해야겠다고 생각했다.	1	1	2	0
가치주는 성장주에 비해 안전할 수 있지만 시장에서 인정을 많이 못 받아 큰 수익을 내지 못할 가능성이 있다.	3	0	1	2
슈퍼주니어 김희철이 팬들에게 보내는 애정의 메시지가 화제다.	0	1	2	1
전 재산을 걸었다가 자살을 시도했다는 글부터 루나를 만든 사람들은 미치광이들(lunatics)이라는 조롱, 인생은 돈보다 더 가치가 있으니 혼자 극단적인 생각을 하지 말아 달라는 당부의 메시지까지 올라온다.	0	1	2	1
밀레니얼은 부캐 열풍을 유쾌하게 받아들이고 있다.	1	1	2	1
김광수 금융위 금융서비스국장은 ＂1일부터 개정안 시행일 사이에 대부계약이 체결돼 발생한 이자(연 49% 초과)는 대부업법 개정안 시행일 이후에도 이자율 제한 규정에 의한 보호를 받지 못한다.＂고 설명했다.	0	1	2	0
이렇게 뒷배경이 막강한 페이스북이 동영상을 전면에 내세우고 있다.	0	1	2	1
미량영양소 부족으로 탄수화물이 에너지로 소진되지 못하면 고지혈증, 고혈당, 비만을 일으키게 되고, 지방이 에너지로 전환되지 못하면 고지방, 고콜레스테롤, 동맥경화를 유발하게 된다.	0	0	2	2
또한, 완성차 전문 메이커로서 승용 및 상용 차량에 적용되는 첨단 기술 및 엔진, 변속기 등 부품 공용화, 생산설비와 협력업체 등 기초 인프라를 적극 활용하여 군용차량의 성능향상은 물론 국가방위 및 경제적인 군 운용에 일조하고 있다.	0	1	2	1
각자 자기 지역이 발전하기를 원하는 사람이 많기 때문에 지역끼리 분쟁이 예측된다.	3	0	0	2
『문화일보』에서는 ＇농촌사랑 1사 1촌 결연캠페인＇을 성공적으로 펼치고 있다. 	1	1	2	1
성적 불만족이 발생할 것이다.	3	0	1	2
양국 정상이 모두 참석한 MOU 체결식에서 ＇UAE 특허행정 자립화 지원을 위한 협력 양해각서＇의 서명이 마무리된 것은 이러한 합의가 구체화된 성과였다.	0	1	2	0
＂이 중에 정답이 있을지 공개해 주세요.＂	2	1	2	1
그런데 정기간행물은 잡지와 기타 간행물을 제외하면 거의 변동이 없었다. 	1	1	1	0
일본 맥주, 청주 광고도 등장했다.	0	1	2	0
당시 이수만 프로듀서는 이렇게 말했다.	0	1	2	0
대통령이 중소 제조업 현장에 가서 안전모와 목장갑을 착용하고 잠시라도 노사와 같이 시간을 보내주면 그들에게는 큰 감동이다.	1	1	2	1
＂고춧가루 5컵, 다진 마늘 5 큰 술, 다진 생강 2 큰 술, 멸치액젓 1컵, 토하새우젓 1컵을 넣어 줍니다.＂	2	1	2	1
＂자, 이제 돌돌 말아 주세요.＂	2	1	2	1
국토교통부와 한국감정원 등에 따르면 기존 금융결제원이 수행하던 청약 업무를 한국감정원으로 이관하는 내용의 주택법 개정안 처리가 난항을 겪고 있어서다.	0	1	2	1
피터 반 루 영국 프랜시스크릭연구소 그룹리더는 `앞으로 10년 후면 간단한 혈액 검사만으로 암 유발 돌연변이를 미리 찾아내 암을 조기 진단할 수 있게 될 것`으로 기대했다.	1	1	2	0
그는 아프리카에 전기를 공급하는 ＇리틀 선＇ 프로젝트도 10년 이상 수행하고 흑인 아이도 입양해 키우고 있다.	0	1	2	0
＂이** 어머니 약을 많이 드시고 있는데 비타민B를 드셨어야 했어요.＂	2	1	2	0
최근에는 이렇게 오랜 기간 약세를 이어오던 코인의 반등이 한차례로만 끝나지 않는 경우가 많으니, 추가적인 상승에 대한 기대감을 가져봐도 좋을 것 같습니다.	2	1	2	2
현재 코로나와 같은 특성을 가진 새로운 변이종이 나타날 수도 있을 가능성이 높다.	3	0	2	2
북한이 최근에 미국으로 보낸 ＇신호＇는, 아직 타협을 원하지만 미국이 필요한 양보를 하지 않는다면 다시 긴장을 고조시킬 수 있다는 내용이다.	0	0	2	1
＂이 말은 바로 마틴 스콜세지 감독이 한 말이다.＂	0	1	2	1
불확실성이 짙게 드리운 건 한국 경제 미래만이 아니다. 	0	1	1	1
로라 벳직은 이혼을 비교문화적으로 분석한 진화인류학자다.	3	1	2	1
하나마이크론은 2001년 설립된 반도체 패키징 및 스토리지 전문업체다.	0	1	2	1
복수에는 한 치의 흔들림도 없었다.	1	1	1	0
＂미리 하고초차를 끓여 왔는데요.＂	2	1	2	0
이순신의 기개와 함께 치밀함도 본받아야 한다.	1	1	2	1
톨스토이의 통찰력을 국가에 적용하면 어떨까.	2	0	0	1
이는 이들 기업이 지난해 채용한 1만7851명보다 5.6% 줄어든 것이다.	1	1	2	1
또한 눈썹은 시대에 따라 트렌드가 달라지는데 눈썹 문신은 한 번 하면 수정하기도 어렵다.	1	1	1	1
남편의 폭력성에 대한 묘사는 12년 전 나온 ＇채식주의자＇가 더 잔혹하다.	1	1	2	1
새로운 기술이 정착하기 위해서는 그에 맞는 미학적 관습 역시 확고히 뿌리내려야 한다.	1	1	2	2
기존 주주들이 자율적으로 의무보호예수(락업)를 걸면서 상장 후 보호예수 물량도 74.4%로 높였다.	0	1	2	0
이런 그가 전 국민 백신 접종에 반대하자 ＇가짜뉴스＇를 퍼트리는 사람으로 내몰렸다.	0	1	2	0
또한 마이너스 금리라면 금융사에 돈을 맡기지 않고 현찰로 가지고 있으면 되는데, 돈을 떼어가는 금융사에 맡길 필요가 있느냐고 생각할 수 있다.	0	0	0	2
다음과 같은 대안을 제언한다.	0	1	2	1
우리나라 학자로 이제현, 1287~1367을 비롯해 원나라 학사인 요수, 염복, 원명선, 조맹부 등이 충선왕의 문하에 머물렀다.	0	1	2	0
세 번째는 ＇공존과 통합-역사의 갈림길＇이다.	1	1	2	1
＂김** 선생님, 누가 받으면 좋을까요?＂	2	0	0	1
＂궁중 팬에 다진 베이컨을 넣고 중 불에 볶을게요.＂	2	1	2	2
이 구도를 바꾸지 못하면 청년들은 ＇출산 파업＇을 멈추지 않을 것이다.	1	0	1	2
그래서 등산객들 사이에 인기 있는 산으로, 특히 요즘은 그곳을 눈으로 즐기는 여행자들이 훨씬 많다.	0	1	2	1
혁신적인 응용 프로그램은 구조에 있어서 앞으로 더 많은 기회를 제공할 것이다.	1	1	2	2
＂떡이 뜨거운 상태라 물이 금방 미지근해져요.＂	2	1	2	1
＇귀하는 중산층입니까＇라는 질문에 본인이 중산층이라고 응답한 국민은 42.2%, 아니라고 응답한 국민은 57.8%였다.	0	1	2	0
강점은 국내에서도 팬층이 두터운 서브컬처 게임 장르의 재미 요소들을 대거 탑재한 점이다.	1	1	2	1
뇌는 바깥으로부터 정보를 입력 받아, 처리해서, 출력하는 일종의 정보처리기관으로서, 인간의 의식 상태에 따라 정보의 처리양상이 달라집니다.	2	1	2	1
